function	callsite	destination	source	key_len	output_len	printable_score	text
0x1CB1CC	0xBCFB0	0x2A9820	0x32ACE	31	11	1.000	Snapdragon
0x1CB2D0	0xBD084	0x2A9830	0x32B29	8	9	1.000	MediaTek
0x1CB740	0xBD220	0x2A9840	0x32B65	20	14	1.000	/proc/cpuinfo
0x1CC09C	0xBD6C4	0x2A989C	0x32C77	10	9	1.000	 | 值: 
0x1CC3C8	0xBD754	0x2A98AC	0x32CBF	23	72	1.000	[!] 未能可靠识别处理器，兼容策略：使用 Tricky Store。
0x1CC608	0xBD7AC	0x2A98F8	0x32D54	22	12	1.000	install.log
0x1CCB80	0xC05F4	0x2A9944	0x32E7E	28	15	1.000	/data/BingPUBG
0x1D3BA0	0xC10C4	0x2A9EC4	0x34015	31	22	1.000	/data/media/0/M3u898k
0x1D6E44	0xC16EC	0x2AA1E8	0x3488B	21	43	1.000	\n[*] 正在删除风险文件/文件夹...
0x1D70A4	0xC1C8C	0x2AA218	0x348E6	30	24	1.000	已删除风险路径: 
0x1D7190	0xC1D1C	0x2AA234	0x34952	17	27	1.000	删除风险路径失败: 
0x1D7984	0xC21F0	0x2AA2A4	0x34AB3	14	43	1.000	 susfs add_sus_path --help >/dev/null 2>&1
0x1D7AA0	0xC2704	0x2AA2D4	0x34B21	30	17	1.000	com.sukisu.ultra
0x1D7BBC	0xC2730	0x2AA2EC	0x34B83	16	22	1.000	com.resukisu.resukisu
0x1D7D4C	0xC27B4	0x2AA308	0x34BCD	25	16	1.000	io.sukisu.ultra
0x1D7E30	0xC3CF8	0x2AA31C	0x34C0E	8	15	1.000	zako.zako.zako
0x1D7F34	0xC2A48	0x2AA330	0x34C3D	15	2	1.000	\t
0x1D818C	0xC2AF8	0x2AA338	0x34C7B	21	12	1.000	/data/data/
0x1D8504	0xC4200	0x2AA36C	0x34D26	15	2	1.000	:
0x1D876C	0xC42E4	0x2AA374	0x34D68	29	14	1.000	/data/user/0/
0x1D897C	0xC4618	0x2AA388	0x34DC0	26	2	1.000	,
0x1D8ED4	0xC46C4	0x2AA398	0x34E42	9	10	1.000	=missing;
0x1D94CC	0xC4A8C	0x2AA3B0	0x34EC5	8	27	1.000	/data/system/packages.list
0x1D9678	0xC4AD0	0x2AA3D0	0x34F0B	11	15	1.000	active_sus_pkg
0x1D9C64	0xC4B58	0x2AA3FC	0x34F88	19	20	1.000	packages_list_mtime
0x1D9DEC	0xC4B98	0x2AA414	0x34FC8	17	15	1.000	sus_config_sig
0x1D9F98	0xB864C	0x2AA428	0x3500A	14	82	1.000	[INFO] 读取到已确认 KernelSU_越狱 Root 标记，保持为 KernelSU_越狱
0x1DA14C	0xB8780	0x2AA480	0x3508A	30	62	1.000	[INFO] 检测到官方 KernelSU Magica/Jailbreak 越狱模式
0x1DAB30	0xB896C	0x2B1A88	0x3C75C	29	46	1.000	[INFO] 执行命令检查通过，susfs可用
0x1DAF74	0xC578C	0x2B1AF4	0x3C82B	12	29	1.000	开始检测Root管理器...
0x1DB060	0xC5D84	0x2B1B18	0x3C881	29	37	1.000	错误: 未检测到任何Root类型
0x1DB428	0xC5E08	0x2B1B44	0x3C8DA	9	86	1.000	错误: 检测到多个Root类型，请清理 data/adb 目录下多余的 Root 文件
0x1DB6A0	0xC5E6C	0x2B1BA0	0x3C976	18	22	1.000	检测到Root类型: 
0x1DB7BC	0xC5F00	0x2B1BBC	0x3C9CC	21	24	1.000	已创建标记文件: 
0x1DBBE0	0xC69B0	0x2B1BF8	0x3CA72	27	7	1.000	EV_KEY
0x1DBD90	0xC6A00	0x2B1C04	0x3CAC1	11	6	1.000	 DOWN
0x1DC64C	0xC7318	0x2B1C38	0x3CB9F	22	15	1.000	等待输入 (
0x1DC768	0xC787C	0x2B1C4C	0x3CBF2	24	2	1.000	)
0x1DC930	0xC7AF0	0x2B1C54	0x3CC45	28	27	1.000	\n- 超时，默认选择: 
0x1DCC7C	0xC7BBC	0x2B1C88	0x3CCD8	16	36	1.000	pkill -f 'getevent -lq' 2>/dev/null
0x1DCFDC	0xC89DC	0x2B1CCC	0x3CD72	23	11	1.000	将处理 
0x1DD0E0	0xC8A1C	0x2B1CDC	0x3CDCB	18	15	1.000	 个资源：\n
0x1DDB70	0xC8F34	0x2B1D18	0x3CEFC	18	177	1.000	\n请使用音量键选择：\n  音量上键：下载并安装上述资源\n  音量下键：跳过模块刷入，仅执行必要配置\n  10秒无操作：默认下载并安装\n\n
