File	Line	Offset	Length	Key	Pool	Decoded	Original
kevin\fun\hook\DexKitFinder.java	1956	1154	27	1822	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	SharePackage_Static_Creator	java.lang.String r27 = androidx.interpolator.C1081.m1616(r0, r1, r2, r3)
kevin\fun\hook\DexKitFinder.java	2184	1612	17	17	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	ߑߞߔ߂ߟߙߔޞ߆ߙߕ߇ޞߦߙߕ߇	java.lang.String r3 = androidx.customview.C1074.m1116(r3, r4, r5, r6)
kevin\fun\hook\DexKitFinder.java	2238	1629	23	2489	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	android.content.Context	java.lang.String r3 = androidx.loader.C1096.m2645(r3, r4, r5, r6)
kevin\fun\hook\DexKitFinder.java	2411	1681	14	781	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	java.util.List	java.lang.String r2 = androidx.interpolator.C1083.m1723(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	7774	1739	16	1808	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	【Kevin】 ❌ 适配失败: 	java.lang.String r2 = androidx.loader.C1099.m2843(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	7802	1762	1	365	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	
	java.lang.String r2 = androidx.appcompat.C1069.m751(r2, r3, r4, r5)     // Catch: java.lang.Throwable -> L14a
kevin\fun\hook\DexKitFinder.java	10359	2417	9	633	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	ViewGroup	java.lang.String r1 = androidx.appcompat.resources.C1068.m652(r1, r7, r8, r9)
kevin\fun\hook\DexKitFinder.java	10387	2426	4	2580	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	View	java.lang.String r1 = androidx.lifecycle.process.C1087.m2008(r1, r2, r7, r8)
kevin\fun\hook\DexKitFinder.java	10476	2437	4	0	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	றமர䔿	java.lang.String r5 = androidx.vectordrawable.animated.C1102.m3116(r5, r6, r7, r8)
kevin\fun\hook\DexKitFinder.java	10482	2441	1	0	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	ڀ	java.lang.String r5 = androidx.drawerlayout.C1077.m1343(r5, r6, r4, r7)
kevin\fun\hook\DexKitFinder.java	10488	2442	1	2776	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	亿	java.lang.String r5 = androidx.loader.C1096.m2645(r5, r6, r4, r7)
kevin\fun\hook\DexKitFinder.java	11788	2823	4	585	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	void	java.lang.String r1 = kevin.fun.hook.audio.C1117.m8169(r1, r4, r5, r6)
