"Root"	"RelativePath"	"Bytes"	"Extension"
"FkWeChat_1.2.6-jadx"	"resources\kotlin\reflect\reflect.kotlin_builtins"	"4859"	".kotlin_builtins"
"FkWeChat_1.2.6-jadx"	"resources\lib\arm64-v8a\libandroidx.graphics.path.so"	"10096"	".so"
"FkWeChat_1.2.6-jadx"	"resources\lib\arm64-v8a\libdexkit.so"	"381024"	".so"
"FkWeChat_1.2.6-jadx"	"resources\lib\arm64-v8a\libfkw.so"	"1557976"	".so"
"FkWeChat_1.2.6-jadx"	"resources\lib\arm64-v8a\libsilk_codec.so"	"347328"	".so"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.activity_activity.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.activity_activity-compose.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.activity_activity-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.annotation_annotation-experimental.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.appcompat_appcompat-resources.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.arch.core_core-runtime.version"	"67"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.autofill_autofill.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.animation_animation.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.animation_animation-core.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.foundation_foundation.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.foundation_foundation-layout.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.material_material-icons-core.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.material_material-icons-extended.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.material_material-ripple.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.material3_material3.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.runtime_runtime.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.runtime_runtime-annotation.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.runtime_runtime-retain.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.runtime_runtime-saveable.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.ui_ui.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.ui_ui-geometry.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.ui_ui-graphics.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.ui_ui-text.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.ui_ui-unit.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.compose.ui_ui-util.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.core_core.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.core_core-ktx.version"	"7"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.core_core-viewtree.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.customview_customview-poolingcontainer.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.databinding_viewbinding.version"	"5"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.documentfile_documentfile.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.dynamicanimation_dynamicanimation.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.emoji2_emoji2.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.exifinterface_exifinterface.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.graphics_graphics-path.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.interpolator_interpolator.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.legacy_legacy-support-core-utils.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.lifecycle_lifecycle-livedata.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.lifecycle_lifecycle-livedata-core.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.lifecycle_lifecycle-livedata-core-ktx.version"	"6"	".version"
