name	virtual_address	size	type	section
_ZTSPKn	0x1C9B7	4	STT_OBJECT	11
_ZTSo	0x1C9BB	2	STT_OBJECT	11
_ZTSPo	0x1C9BD	3	STT_OBJECT	11
_ZTSPKo	0x1C9C0	4	STT_OBJECT	11
_ZTSDh	0x1C9C4	3	STT_OBJECT	11
_ZTSPDh	0x1C9C7	4	STT_OBJECT	11
_ZTSPKDh	0x1C9CB	5	STT_OBJECT	11
_ZTSf	0x1C9D0	2	STT_OBJECT	11
_ZTSPf	0x1C9D2	3	STT_OBJECT	11
_ZTSPKf	0x1C9D5	4	STT_OBJECT	11
_ZTSd	0x1C9D9	2	STT_OBJECT	11
_ZTSPd	0x1C9DB	3	STT_OBJECT	11
_ZTSPKd	0x1C9DE	4	STT_OBJECT	11
_ZTSe	0x1C9E2	2	STT_OBJECT	11
_ZTSPe	0x1C9E4	3	STT_OBJECT	11
_ZTSPKe	0x1C9E7	4	STT_OBJECT	11
_ZTSg	0x1C9EB	2	STT_OBJECT	11
_ZTSPg	0x1C9ED	3	STT_OBJECT	11
_ZTSPKg	0x1C9F0	4	STT_OBJECT	11
_ZTSDu	0x1C9F4	3	STT_OBJECT	11
_ZTSPDu	0x1C9F7	4	STT_OBJECT	11
_ZTSPKDu	0x1C9FB	5	STT_OBJECT	11
_ZTSDs	0x1CA00	3	STT_OBJECT	11
_ZTSPDs	0x1CA03	4	STT_OBJECT	11
_ZTSPKDs	0x1CA07	5	STT_OBJECT	11
_ZTSDi	0x1CA0C	3	STT_OBJECT	11
_ZTSPDi	0x1CA0F	4	STT_OBJECT	11
_ZTSPKDi	0x1CA13	5	STT_OBJECT	11
_ZTSN10__cxxabiv117__array_type_infoE	0x1CA18	34	STT_OBJECT	11
_ZTSN10__cxxabiv116__enum_type_infoE	0x1CA3A	33	STT_OBJECT	11
_ZTSN10__cxxabiv120__si_class_type_infoE	0x1CA5B	37	STT_OBJECT	11
_ZTSN10__cxxabiv121__vmi_class_type_infoE	0x1CA80	38	STT_OBJECT	11
_ZTSSt9exception	0x1CAA6	13	STT_OBJECT	11
_ZTSSt13bad_exception	0x1CAB3	18	STT_OBJECT	11
_ZTSSt9bad_alloc	0x1CAC5	13	STT_OBJECT	11
_ZTSSt20bad_array_new_length	0x1CAD2	25	STT_OBJECT	11
_ZTSSt12domain_error	0x1CAEB	17	STT_OBJECT	11
_ZTSSt11logic_error	0x1CAFC	16	STT_OBJECT	11
_ZTSSt16invalid_argument	0x1CB0C	21	STT_OBJECT	11
_ZTSSt12length_error	0x1CB21	17	STT_OBJECT	11
_ZTSSt12out_of_range	0x1CB32	17	STT_OBJECT	11
_ZTSSt11range_error	0x1CB43	16	STT_OBJECT	11
_ZTSSt13runtime_error	0x1CB53	18	STT_OBJECT	11
_ZTSSt14overflow_error	0x1CB65	19	STT_OBJECT	11
_ZTSSt15underflow_error	0x1CB78	20	STT_OBJECT	11
_ZTSSt9type_info	0x1CB8C	13	STT_OBJECT	11
_ZTSSt8bad_cast	0x1CB99	12	STT_OBJECT	11
_ZTSSt10bad_typeid	0x1CBA5	15	STT_OBJECT	11
JNI_OnLoad	0x2C384	108	STT_FUNC	15
_ZNSt6__ndk112__next_primeEm	0x149360	1860	STT_FUNC	15
_ZNSt6__ndk15mutex4lockEv	0x149B24	36	STT_FUNC	15
_ZNSt6__ndk15mutex8try_lockEv	0x149B48	32	STT_FUNC	15
_ZNSt6__ndk15mutex6unlockEv	0x149B74	24	STT_FUNC	15
_ZNSt6__ndk115recursive_mutexC1Ev	0x149B8C	196	STT_FUNC	15
_ZNSt6__ndk115recursive_mutexC2Ev	0x149B8C	196	STT_FUNC	15
_ZNSt6__ndk115recursive_mutexD1Ev	0x149C50	24	STT_FUNC	15
_ZNSt6__ndk115recursive_mutexD2Ev	0x149C50	24	STT_FUNC	15
_ZNSt6__ndk115recursive_mutex4lockEv	0x149C68	36	STT_FUNC	15
_ZNSt6__ndk115recursive_mutex6unlockEv	0x149C8C	24	STT_FUNC	15
_ZNSt6__ndk115recursive_mutex8try_lockEv	0x149CA4	32	STT_FUNC	15
_ZNSt6__ndk111timed_mutexC1Ev	0x149CC4	24	STT_FUNC	15
_ZNSt6__ndk111timed_mutexC2Ev	0x149CC4	24	STT_FUNC	15
_ZNSt6__ndk111timed_mutexD1Ev	0x149CDC	100	STT_FUNC	15
_ZNSt6__ndk111timed_mutexD2Ev	0x149CDC	100	STT_FUNC	15
